Time(s),CH1V
-6.840000e-04,3.015933e-01
-6.820000e-04,3.017133e-01
-6.800000e-04,3.007867e-01
-6.780000e-04,3.012467e-01
-6.760000e-04,3.006733e-01
-6.740000e-04,3.011333e-01
-6.720000e-04,3.009067e-01
-6.700000e-04,3.017133e-01
-6.680000e-04,3.010200e-01
-6.660000e-04,3.014800e-01
-6.640000e-04,3.012467e-01
-6.620000e-04,3.017133e-01
-6.600000e-04,3.011333e-01
-6.580000e-04,3.015933e-01
-6.560000e-04,3.012467e-01
-6.540000e-04,3.019400e-01
-6.520000e-04,3.012467e-01
-6.500000e-04,3.011333e-01
-6.480000e-04,3.017133e-01
-6.460000e-04,3.014800e-01
-6.440000e-04,3.012467e-01
-6.420000e-04,3.012467e-01
-6.400000e-04,3.010200e-01
-6.380000e-04,3.013667e-01
-6.360000e-04,3.010200e-01
-6.340000e-04,3.018267e-01
-6.320000e-04,3.007867e-01
-6.300000e-04,3.012467e-01
-6.280000e-04,3.012467e-01
-6.260000e-04,3.017133e-01
-6.240000e-04,3.013667e-01
-6.220000e-04,3.020600e-01
-6.200000e-04,3.012467e-01
-6.180000e-04,3.013667e-01
-6.160000e-04,3.010200e-01
-6.140000e-04,3.013667e-01
-6.120000e-04,3.009067e-01
-6.100000e-04,3.013667e-01
-6.080000e-04,3.007867e-01
-6.060000e-04,3.018267e-01
-6.040000e-04,3.014800e-01
-6.020000e-04,3.024067e-01
-6.000000e-04,3.013667e-01
-5.980000e-04,3.017133e-01
-5.960000e-04,3.013667e-01
-5.940000e-04,3.015933e-01
-5.920000e-04,3.019400e-01
-5.900000e-04,3.018267e-01
-5.880000e-04,3.011333e-01
-5.860000e-04,3.012467e-01
-5.840000e-04,3.005600e-01
-5.820000e-04,3.014800e-01
-5.800000e-04,3.014800e-01
-5.780000e-04,3.012467e-01
-5.760000e-04,3.013667e-01
-5.740000e-04,3.020600e-01
-5.720000e-04,3.011333e-01
-5.700000e-04,3.018267e-01
-5.680000e-04,3.007867e-01
-5.660000e-04,3.017133e-01
-5.640000e-04,3.021733e-01
-5.620000e-04,3.019400e-01
-5.600000e-04,3.015933e-01
-5.580000e-04,3.020600e-01
-5.560000e-04,3.013667e-01
-5.540000e-04,3.021733e-01
-5.520000e-04,3.019400e-01
-5.500000e-04,3.014800e-01
-5.480000e-04,3.009067e-01
-5.460000e-04,3.017133e-01
-5.440000e-04,3.009067e-01
-5.420000e-04,3.013667e-01
-5.400000e-04,3.012467e-01
-5.380000e-04,3.011333e-01
-5.360000e-04,3.010200e-01
-5.340000e-04,3.015933e-01
-5.320000e-04,3.013667e-01
-5.300000e-04,3.013667e-01
-5.280000e-04,3.012467e-01
-5.260000e-04,3.018267e-01
-5.240000e-04,3.013667e-01
-5.220000e-04,3.014800e-01
-5.200000e-04,3.006733e-01
-5.180000e-04,3.018267e-01
-5.160000e-04,3.009067e-01
-5.140000e-04,3.019400e-01
-5.120000e-04,3.017133e-01
