Time(s),CH1V,CH2V
-6.180000e-04,3.014067e-01,7.933333e-04
-6.160000e-04,3.018667e-01,1.140000e-03
-6.140000e-04,3.009467e-01,7.933333e-04
-6.120000e-04,3.015200e-01,1.600000e-03
-6.100000e-04,3.010600e-01,7.933333e-04
-6.080000e-04,3.017533e-01,1.373333e-03
-6.060000e-04,3.010600e-01,9.066667e-04
-6.040000e-04,3.017533e-01,1.020000e-03
-6.020000e-04,3.012933e-01,4.400000e-04
-6.000000e-04,3.018667e-01,1.953333e-03
-5.980000e-04,3.016400e-01,5.600000e-04
-5.960000e-04,3.017533e-01,7.933333e-04
-5.940000e-04,3.012933e-01,5.600000e-04
-5.920000e-04,3.016400e-01,6.733334e-04
-5.900000e-04,3.007133e-01,-2.000000e-05
-5.880000e-04,3.012933e-01,1.020000e-03
-5.860000e-04,3.007133e-01,5.600000e-04
-5.840000e-04,3.015200e-01,9.066667e-04
-5.820000e-04,3.011800e-01,4.400000e-04
-5.800000e-04,3.017533e-01,1.140000e-03
-5.780000e-04,3.017533e-01,5.600000e-04
-5.760000e-04,3.017533e-01,1.020000e-03
-5.740000e-04,3.014067e-01,2.133333e-04
-5.720000e-04,3.015200e-01,6.733334e-04
-5.700000e-04,3.009467e-01,2.133333e-04
-5.680000e-04,3.017533e-01,4.400000e-04
-5.660000e-04,3.010600e-01,2.133333e-04
-5.640000e-04,3.017533e-01,1.020000e-03
-5.620000e-04,3.010600e-01,7.933333e-04
-5.600000e-04,3.019867e-01,9.066667e-04
-5.580000e-04,3.012933e-01,7.933333e-04
-5.560000e-04,3.019867e-01,1.140000e-03
-5.540000e-04,3.010600e-01,3.266667e-04
-5.520000e-04,3.014067e-01,1.020000e-03
-5.500000e-04,3.010600e-01,4.400000e-04
-5.480000e-04,3.017533e-01,5.600000e-04
-5.460000e-04,3.018667e-01,4.400000e-04
-5.440000e-04,3.019867e-01,7.933333e-04
-5.420000e-04,3.010600e-01,5.600000e-04
-5.400000e-04,3.021000e-01,1.373333e-03
-5.380000e-04,3.012933e-01,2.133333e-04
-5.360000e-04,3.016400e-01,7.933333e-04
-5.340000e-04,3.021000e-01,7.933333e-04
-5.320000e-04,3.018667e-01,1.020000e-03
-5.300000e-04,3.021000e-01,2.133333e-04
-5.280000e-04,3.017533e-01,5.600000e-04
-5.260000e-04,3.009467e-01,9.066667e-04
-5.240000e-04,3.019867e-01,1.020000e-03
-5.220000e-04,3.009467e-01,6.733334e-04
-5.200000e-04,3.015200e-01,1.720000e-03
-5.180000e-04,3.012933e-01,2.133333e-04
-5.160000e-04,3.015200e-01,7.933333e-04
-5.140000e-04,3.010600e-01,4.400000e-04
-5.120000e-04,3.015200e-01,1.020000e-03
-5.100000e-04,3.012933e-01,7.933333e-04
-5.080000e-04,3.010600e-01,7.933333e-04
-5.060000e-04,3.010600e-01,1.140000e-03
-5.040000e-04,3.009467e-01,1.020000e-03
-5.020000e-04,3.009467e-01,4.400000e-04
-5.000000e-04,1.946467e-01,1.020000e-03
-4.980000e-04,4.910666e-02,2.133333e-04
-4.960000e-04,1.344000e-02,1.140000e-03
-4.940000e-04,3.980000e-03,7.933333e-04
-4.920000e-04,2.593333e-03,1.020000e-03
-4.900000e-04,4.000000e-04,6.733334e-04
-4.880000e-04,1.206667e-03,6.733334e-04
-4.860000e-04,5.333333e-05,1.020000e-03
-4.840000e-04,8.600000e-04,1.140000e-03
-4.820000e-04,1.733333e-04,5.600000e-04
-4.800000e-04,6.333333e-04,7.933333e-04
-4.780000e-04,7.466667e-04,4.400000e-04
-4.760000e-04,1.206667e-03,1.020000e-03
-4.740000e-04,6.333333e-04,6.733334e-04
-4.720000e-04,1.326667e-03,5.600000e-04
-4.700000e-04,9.800000e-04,9.066667e-04
-4.680000e-04,8.600000e-04,7.933333e-04
-4.660000e-04,2.866667e-04,1.020000e-03
-4.640000e-04,1.326667e-03,1.140000e-03
-4.620000e-04,7.466667e-04,5.600000e-04
-4.600000e-04,1.093333e-03,7.933333e-04
-4.580000e-04,1.733333e-04,5.600000e-04
-4.560000e-04,1.326667e-03,1.373333e-03
-4.540000e-04,2.866667e-04,7.933333e-04
-4.520000e-04,1.440000e-03,1.140000e-03
-4.500000e-04,6.333333e-04,6.733334e-04
-4.480000e-04,1.093333e-03,6.733334e-04
-4.460000e-04,-1.733333e-04,7.933333e-04
-4.440000e-04,8.600000e-04,1.140000e-03
-4.420000e-04,4.000000e-04,6.733334e-04
-4.400000e-04,1.093333e-03,1.253333e-03
-4.380000e-04,-6.000000e-05,5.600000e-04
-4.360000e-04,7.466667e-04,1.373333e-03
-4.340000e-04,4.000000e-04,4.400000e-04
-4.320000e-04,1.093333e-03,6.733334e-04
-4.300000e-04,6.333333e-04,4.400000e-04
-4.280000e-04,2.020000e-03,1.020000e-03
-4.260000e-04,6.333333e-04,2.133333e-04
-4.240000e-04,1.206667e-03,5.600000e-04
-4.220000e-04,1.733333e-04,4.400000e-04
-4.200000e-04,2.866667e-04,7.933333e-04
-4.180000e-04,1.733333e-04,5.600000e-04
-4.160000e-04,7.466667e-04,5.600000e-04
-4.140000e-04,5.333333e-05,-2.000000e-05
-4.120000e-04,1.326667e-03,1.140000e-03
-4.100000e-04,6.333333e-04,5.600000e-04
-4.080000e-04,1.093333e-03,9.066667e-04
-4.060000e-04,2.866667e-04,6.733334e-04
-4.040000e-04,1.326667e-03,6.733334e-04
-4.020000e-04,5.133333e-04,9.333334e-05
-4.000000e-04,1.440000e-03,9.066667e-04
-3.980000e-04,1.733333e-04,9.066667e-04
-3.960000e-04,1.093333e-03,6.733334e-04
-3.940000e-04,2.866667e-04,4.400000e-04
-3.920000e-04,8.600000e-04,5.600000e-04
-3.900000e-04,-1.733333e-04,4.400000e-04
-3.880000e-04,6.333333e-04,9.066667e-04
-3.860000e-04,-2.933333e-04,2.133333e-04
-3.840000e-04,1.326667e-03,9.066667e-04
-3.820000e-04,9.800000e-04,9.066667e-04
-3.800000e-04,2.133333e-03,1.140000e-03
-3.780000e-04,4.000000e-04,5.600000e-04
-3.760000e-04,7.466667e-04,1.720000e-03
-3.740000e-04,5.333333e-05,5.600000e-04
-3.720000e-04,6.333333e-04,4.400000e-04
-3.700000e-04,2.866667e-04,5.600000e-04
-3.680000e-04,1.093333e-03,1.140000e-03
-3.660000e-04,6.333333e-04,4.400000e-04
-3.640000e-04,1.326667e-03,1.373333e-03
-3.620000e-04,2.866667e-04,2.133333e-04
-3.600000e-04,5.133333e-04,1.253333e-03
-3.580000e-04,5.333333e-05,3.266667e-04
-3.560000e-04,1.093333e-03,7.933333e-04
-3.540000e-04,1.733333e-04,6.733334e-04
-3.520000e-04,1.326667e-03,1.373333e-03
-3.500000e-04,4.000000e-04,5.600000e-04
-3.480000e-04,1.440000e-03,7.933333e-04
-3.460000e-04,4.000000e-04,5.600000e-04
-3.440000e-04,1.093333e-03,1.020000e-03
-3.420000e-04,-1.733333e-04,3.266667e-04
-3.400000e-04,1.733333e-04,1.020000e-03
-3.380000e-04,-1.733333e-04,6.733334e-04
-3.360000e-04,1.093333e-03,1.140000e-03
-3.340000e-04,6.333333e-04,5.600000e-04
-3.320000e-04,1.673333e-03,5.600000e-04
-3.300000e-04,7.466667e-04,5.600000e-04
-3.280000e-04,1.206667e-03,1.020000e-03
-3.260000e-04,6.333333e-04,4.400000e-04
-3.240000e-04,6.333333e-04,1.486667e-03
-3.220000e-04,-7.533333e-04,4.400000e-04
-3.200000e-04,1.093333e-03,1.373333e-03
-3.180000e-04,1.733333e-04,9.333334e-05
-3.160000e-04,2.866667e-04,7.933333e-04
-3.140000e-04,5.333333e-05,7.933333e-04
-3.120000e-04,1.326667e-03,5.600000e-04
-3.100000e-04,-6.000000e-05,4.400000e-04
-3.080000e-04,8.600000e-04,9.066667e-04
-3.060000e-04,-4.066667e-04,5.600000e-04
-3.040000e-04,8.600000e-04,5.600000e-04
-3.020000e-04,5.333333e-05,4.400000e-04
-3.000000e-04,5.133333e-04,1.486667e-03
-2.980000e-04,4.000000e-04,7.933333e-04
-2.960000e-04,1.673333e-03,5.600000e-04
-2.940000e-04,7.466667e-04,6.733334e-04
-2.920000e-04,9.800000e-04,1.020000e-03
-2.900000e-04,5.333333e-05,9.333334e-05
-2.880000e-04,8.600000e-04,6.733334e-04
-2.860000e-04,-6.000000e-05,2.133333e-04
-2.840000e-04,5.133333e-04,6.733334e-04
-2.820000e-04,7.466667e-04,2.133333e-04
-2.800000e-04,1.440000e-03,1.020000e-03
-2.780000e-04,2.866667e-04,3.266667e-04
-2.760000e-04,1.733333e-04,1.020000e-03
-2.740000e-04,-7.533333e-04,4.400000e-04
-2.720000e-04,5.133333e-04,1.140000e-03
-2.700000e-04,6.333333e-04,4.400000e-04
-2.680000e-04,1.206667e-03,1.600000e-03
-2.660000e-04,6.333333e-04,9.066667e-04
-2.640000e-04,6.333333e-04,1.720000e-03
-2.620000e-04,5.333333e-05,2.133333e-04
-2.600000e-04,8.600000e-04,1.020000e-03
-2.580000e-04,-6.000000e-05,7.933333e-04
-2.560000e-04,2.866667e-04,1.140000e-03
-2.540000e-04,5.133333e-04,5.600000e-04
-2.520000e-04,1.440000e-03,1.140000e-03
-2.500000e-04,2.866667e-04,4.400000e-04
-2.480000e-04,1.440000e-03,6.733334e-04
-2.460000e-04,4.000000e-04,5.600000e-04
-2.440000e-04,1.326667e-03,5.600000e-04
-2.420000e-04,2.866667e-04,6.733334e-04
-2.400000e-04,1.206667e-03,9.066667e-04
-2.380000e-04,1.733333e-04,1.020000e-03
-2.360000e-04,8.600000e-04,5.600000e-04
-2.340000e-04,2.866667e-04,3.266667e-04
-2.320000e-04,1.553333e-03,7.933333e-04
-2.300000e-04,1.733333e-04,2.133333e-04
-2.280000e-04,8.600000e-04,1.140000e-03
-2.260000e-04,-1.733333e-04,5.600000e-04
-2.240000e-04,1.093333e-03,1.373333e-03
-2.220000e-04,1.733333e-04,5.600000e-04
-2.200000e-04,7.466667e-04,1.253333e-03
-2.180000e-04,1.733333e-04,5.600000e-04
-2.160000e-04,8.600000e-04,1.140000e-03
-2.140000e-04,4.000000e-04,4.400000e-04
-2.120000e-04,1.786667e-03,1.253333e-03
-2.100000e-04,6.333333e-04,9.066667e-04
-2.080000e-04,1.093333e-03,1.486667e-03
-2.060000e-04,4.000000e-04,9.066667e-04
-2.040000e-04,5.133333e-04,6.733334e-04
-2.020000e-04,1.733333e-04,2.133333e-04
-2.000000e-04,2.866667e-04,1.373333e-03
-1.980000e-04,2.866667e-04,6.733334e-04
-1.960000e-04,1.093333e-03,1.373333e-03
-1.940000e-04,1.733333e-04,9.066667e-04
-1.920000e-04,9.800000e-04,1.373333e-03
-1.900000e-04,1.733333e-04,9.066667e-04
-1.880000e-04,1.326667e-03,7.933333e-04
-1.860000e-04,5.133333e-04,4.400000e-04
-1.840000e-04,1.093333e-03,1.020000e-03
-1.820000e-04,-6.000000e-05,2.133333e-04
-1.800000e-04,1.206667e-03,1.020000e-03
-1.780000e-04,1.733333e-04,3.266667e-04
-1.760000e-04,7.466667e-04,1.140000e-03
-1.740000e-04,4.000000e-04,4.400000e-04
-1.720000e-04,6.333333e-04,1.140000e-03
