Time(s),CH1V,CH2V,CH3V,CH4V
-7.860000e-04,3.020867e-01,2.133333e-04,-2.000000e-04,-4.400000e-04
-7.840000e-04,3.011667e-01,1.020000e-03,2.600000e-04,3.600000e-04
-7.820000e-04,3.011667e-01,5.600000e-04,4.866667e-04,1.333333e-04
-7.800000e-04,3.010467e-01,1.020000e-03,1.400000e-04,-3.266667e-04
-7.780000e-04,3.009333e-01,2.133333e-04,7.200000e-04,1.333333e-04
-7.760000e-04,3.007067e-01,4.400000e-04,7.200000e-04,8.200000e-04
-7.740000e-04,3.010467e-01,7.933333e-04,7.200000e-04,2.466667e-04
-7.720000e-04,3.013933e-01,7.933333e-04,-8.666667e-05,-9.333334e-05
-7.700000e-04,3.018600e-01,5.600000e-04,2.666667e-05,1.333333e-04
-7.680000e-04,3.011667e-01,1.140000e-03,-8.666667e-05,2.466667e-04
-7.660000e-04,3.012800e-01,7.933333e-04,3.733333e-04,-1.013333e-03
-7.640000e-04,3.011667e-01,6.733334e-04,-8.666667e-05,2.000000e-05
-7.620000e-04,3.013933e-01,9.066667e-04,3.733333e-04,2.000000e-05
-7.600000e-04,3.004733e-01,7.933333e-04,9.466666e-04,8.200000e-04
-7.580000e-04,3.020867e-01,5.600000e-04,1.060000e-03,4.800000e-04
-7.560000e-04,3.017400e-01,5.600000e-04,2.666667e-05,5.933333e-04
-7.540000e-04,3.018600e-01,4.400000e-04,2.600000e-04,2.466667e-04
-7.520000e-04,3.013933e-01,9.066667e-04,2.666667e-05,5.933333e-04
-7.500000e-04,3.018600e-01,-6.000000e-04,2.600000e-04,4.800000e-04
-7.480000e-04,3.012800e-01,2.133333e-04,2.666667e-05,-9.333334e-05
-7.460000e-04,3.011667e-01,9.066667e-04,7.200000e-04,2.466667e-04
-7.440000e-04,3.011667e-01,9.066667e-04,4.866667e-04,2.000000e-05
-7.420000e-04,3.017400e-01,9.333334e-05,9.466666e-04,2.000000e-05
-7.400000e-04,3.016267e-01,5.600000e-04,-2.000000e-04,2.466667e-04
-7.380000e-04,3.017400e-01,4.400000e-04,9.466666e-04,-2.133333e-04
-7.360000e-04,3.013933e-01,6.733334e-04,3.733333e-04,1.333333e-04
-7.340000e-04,3.019733e-01,2.133333e-04,-2.000000e-04,2.466667e-04
-7.320000e-04,3.017400e-01,9.066667e-04,6.000000e-04,8.200000e-04
-7.300000e-04,3.017400e-01,5.600000e-04,1.400000e-04,-9.333334e-05
-7.280000e-04,3.015133e-01,7.933333e-04,4.866667e-04,2.466667e-04
-7.260000e-04,3.016267e-01,5.600000e-04,3.733333e-04,-9.333334e-05
-7.240000e-04,3.019733e-01,9.066667e-04,1.400000e-04,-3.266667e-04
-7.220000e-04,3.018600e-01,4.400000e-04,7.200000e-04,-4.400000e-04
-7.200000e-04,3.010467e-01,7.933333e-04,6.000000e-04,2.466667e-04
-7.180000e-04,3.013933e-01,9.066667e-04,7.200000e-04,2.000000e-05
-7.160000e-04,3.001267e-01,6.733334e-04,4.866667e-04,2.466667e-04
-7.140000e-04,3.013933e-01,4.400000e-04,-8.666667e-05,-4.400000e-04
-7.120000e-04,3.022067e-01,9.066667e-04,4.866667e-04,7.066667e-04
-7.100000e-04,3.016267e-01,2.133333e-04,7.200000e-04,2.466667e-04
-7.080000e-04,3.011667e-01,1.020000e-03,3.733333e-04,-9.333334e-05
-7.060000e-04,3.013933e-01,7.933333e-04,6.000000e-04,1.740000e-03
-7.040000e-04,3.011667e-01,1.140000e-03,-8.666667e-05,5.933333e-04
-7.020000e-04,3.015133e-01,7.933333e-04,7.200000e-04,2.000000e-05
-7.000000e-04,3.010467e-01,1.140000e-03,1.400000e-04,-9.333334e-05
-6.980000e-04,3.010467e-01,5.600000e-04,7.200000e-04,3.600000e-04
-6.960000e-04,3.016267e-01,1.140000e-03,6.000000e-04,3.600000e-04
-6.940000e-04,3.016267e-01,4.400000e-04,4.866667e-04,3.600000e-04
-6.920000e-04,3.013933e-01,6.733334e-04,1.180000e-03,2.466667e-04
-6.900000e-04,3.011667e-01,5.600000e-04,4.866667e-04,1.740000e-03
-6.880000e-04,3.005867e-01,1.373333e-03,3.733333e-04,4.800000e-04
-6.860000e-04,3.013933e-01,4.400000e-04,7.200000e-04,3.600000e-04
-6.840000e-04,3.010467e-01,5.600000e-04,1.180000e-03,2.466667e-04
-6.820000e-04,3.018600e-01,7.933333e-04,3.733333e-04,-5.533333e-04
-6.800000e-04,3.020867e-01,7.933333e-04,2.600000e-04,1.333333e-04
-6.780000e-04,3.018600e-01,1.020000e-03,8.333334e-04,2.466667e-04
-6.760000e-04,3.013933e-01,1.140000e-03,1.400000e-04,4.800000e-04
-6.740000e-04,3.015133e-01,3.266667e-04,4.866667e-04,-2.133333e-04
-6.720000e-04,3.009333e-01,9.066667e-04,-8.666667e-05,2.466667e-04
-6.700000e-04,3.015133e-01,7.933333e-04,6.000000e-04,4.800000e-04
-6.680000e-04,3.009333e-01,1.020000e-03,-8.666667e-05,-9.333334e-05
-6.660000e-04,3.022067e-01,-1.333333e-04,3.733333e-04,1.333333e-04
-6.640000e-04,3.012800e-01,9.066667e-04,9.466666e-04,2.466667e-04
-6.620000e-04,3.018600e-01,7.933333e-04,4.866667e-04,4.800000e-04
-6.600000e-04,3.015133e-01,1.020000e-03,3.733333e-04,4.800000e-04
-6.580000e-04,3.025533e-01,4.400000e-04,4.866667e-04,2.466667e-04
-6.560000e-04,3.022067e-01,7.933333e-04,1.400000e-04,4.800000e-04
-6.540000e-04,3.018600e-01,1.020000e-03,3.733333e-04,1.166667e-03
-6.520000e-04,3.013933e-01,4.400000e-04,9.466666e-04,3.600000e-04
